pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
HD 23472 f,HD 23472,2022,Transit,1.137,0.77,Mass,12.1621839,630,26.3,0.0906,4684,0.71,0.67,-0.2,,39.0341
HD 235088 b,HD 235088,2023,Transit,1.982,4.15,Mass,7.4341325,805,70,0.0706,5075,0.772,0.849,-0.02,0.7,41.1706
HD 25463 b,HD 25463,2023,Transit,2.54535814,8.7,Mass,7.0491423,1198.46,461.4,0.076,6353,1.4182,1.251,-0.018,2.3,45.6181
HD 25463 c,HD 25463,2023,Transit,1.36354953,4.3,Mass,3.04405,1585.57,1413.5,0.0443,6353,1.4182,1.251,-0.018,2.3,45.6181
HD 260655 b,HD 260655,2022,Transit,1.24,2.14,Mass,2.76953,709,42.2,0.02933,3803,0.439,0.439,-0.43,5,10.0055
HD 260655 c,HD 260655,2022,Transit,1.533,3.09,Mass,5.70588,557,16.1,0.04749,3803,0.439,0.439,-0.43,5,10.0055
HD 2685 b,HD 2685,2019,Transit,16.14096,371.8611,Mass,4.12688,2061,1436.49,0.0568,6801,1.56,1.43,0.02,1.31,196.852
HD 278555 b,HD 278555,2026,Transit,11.02963701,266.9758619,Mass,28.842438,853,79.4371,0.1985,6047,1.624,1.255,0.269,3.8,289.829
HD 28109 b,HD 28109,2022,Transit,2.69,6.2,Mass,22.891054,867,33.4501,0.1357,6189,1.425,1.227,0.1,3.2,139.611
HD 28109 c,HD 28109,2022,Transit,4.13,9.2,Mass,55.99712,643,29.9535,0.308,6189,1.425,1.227,0.1,3.2,139.611
HD 28109 d,HD 28109,2022,Transit,3.11,5.8,Mass,84.2899,561,17.3745,0.411,6189,1.425,1.227,0.1,3.2,139.611
HD 3167 b,HD 3167,2016,Transit,1.601,4.844,Mass,0.95965451,1781,1650,0.01814,5338,0.871,0.864,0.037,8.4,47.2899
HD 3167 c,HD 3167,2016,Transit,2.983,11.41,Mass,29.846511,567,16.9,0.1794,5338,0.871,0.864,0.037,8.4,47.2899
HD 332231 b,HD 332231,2020,Transit,9.07303305,74.1,Mass,18.712024,798.3,98.09,0.145,6128,1.266,1.1642,0.043,2.9,80.6665
HD 35843 c,HD 35843,2025,Transit,2.54,11.32,Mass,46.9622,479,11.3814,0.25,5666,0.897,0.94,-0.27,2.5,69.6026
HD 50554 c,HD 50554,2026,Transit,1.31,5.3,Mass,5.969362,1090.83,334.6171,0.0652,5968,1.146,1.04,-0.02,2.16,31.1664
HD 50554 d,HD 50554,2026,Transit,1.41,10.4,Mass,28.0694,651.11,42.4756,0.1831,5968,1.146,1.04,-0.02,2.16,31.1664
HD 5278 b,HD 5278,2021,Transit,2.45,7.8,Mass,14.339156,943,132,0.1202,6203,1.194,1.126,-0.12,3,57.5846
HD 6061 b,HD 6061,2023,Transit,2.42763557,10,Mass,5.2549,1075.31,339.1,0.06,5934,1.0072,1.0269,-0.05,2.4,67.6203
HD 60779 b,HD 60779,2026,Transit,3.246,14.19,Mass,29.986175,650,42.3921,0.1922,6081,1.129,1.05,-0.12,,35.4445
HD 63433 b,HD 63433,2020,Transit,2.14,21.755,Mass,7.1079475,967.11,145.5707,0.072,5553,0.934,0.956,-0.07,0.414,22.4035
