pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
"rho CrB c","rho CrB",2016,"Radial Velocity",5.68000000,27.44200000,"Msini",102.03600000000,448.10,9.8500,0.4206000000,5817.00,1.361700,1.000000,-0.2000,10.2000,17.46710000
"rho CrB e","rho CrB",2023,"Radial Velocity",1.75000000,3.71000000,"Msini",12.90400000000,1004.88,151.5473,0.1061000000,5817.00,1.361700,1.000000,-0.2000,10.2000,17.46710000
"tau Boo b","tau Boo",1996,"Radial Velocity",12.80000000,1891.00000000,"Mass",3.31245680000,1682.02,1333.7826,0.0490000000,6466.27,1.425880,1.320000,0.2642,2.0000,15.65210000
"tau Cet f","tau Cet",2017,"Radial Velocity",1.81000000,3.93000000,"Msini",636.13000000000,201.97,0.2782,1.3340000000,5310.00,0.830000,0.783000,-0.5200,12.1200,3.60304000
"tau Cet g","tau Cet",2017,"Radial Velocity",1.18000000,1.75000000,"Msini",20.00000000000,639.65,27.9835,0.1330000000,5310.00,0.830000,0.783000,-0.5200,12.1200,3.60304000
"tau Cet h","tau Cet",2017,"Radial Velocity",1.19000000,1.83000000,"Msini",49.41000000000,473.22,8.3829,0.2430000000,5310.00,0.830000,0.783000,-0.5200,12.1200,3.60304000
"tau Gem b","tau Gem",2013,"Radial Velocity",12.10000000,6547.00000000,"Msini",305.50000000000,1012.69,241.3109,1.1700000000,4388.00,26.800000,2.300000,0.1400,1.2200,112.53700000
"ups And b","ups And",1996,"Radial Velocity",14.00000000,218.53100000,"Msini",4.61703300000,1523.73,955.9835,0.0592216600,6156.77,1.560000,1.300000,0.1014,5.0000,13.40540000
"ups And c","ups And",1999,"Radial Velocity",12.30000000,4443.24112986,"Mass",241.25800000000,407.56,4.8931,0.8277740000,6156.77,1.560000,1.300000,0.1014,5.0000,13.40540000
"ups And d","ups And",1999,"Radial Velocity",12.50000000,3257.74117175,"Mass",1276.46000000000,233.90,0.5308,2.5132900000,6156.77,1.560000,1.300000,0.1014,5.0000,13.40540000
